ytid,caption
D3f5VIJYR7M,The low quality recording features a saxophone scale run melody. The recording is noisy and in mono.
rOOBAGxxjBk,"This music is a lively instrumental. The tempo is fast with the charming harmony of trumpet, saxophone, tuba and a rhythmic accordion accompaniment. The music is fresh, spirited,lively, pleasant, merry, cheerful, charming and entertaining. This music is a classical piece."
fWfQxB2pVrc,This folk song features a harmonica playing the main melody. This is accompanied by an acoustic guitar strumming chords. There are no other instruments in this song. This is an instrumental song. There are no voices in this song. The mood of this song is upbeat and happy. This song can be played in a movie scene involving a highway drive.
R6V85er9VXc,This song contains drone sounds played by a string instrument and a synth. On top of that a panflute sound is playing a simple slow melody. A male voice is chanting a mantra in a deeper voice. This song may be playing in a meditation session.
mzDq-abtAKs,"This song is an electronic instrumental. The audio quality is poor so the music is incoherent. The song has an electronic harmony, slick drumming, dissonant buzzing and bubbling sound."
G9gsCU85c8k,This song features a male voice singing the main melody. Other male voices sing fills in between lines as backing voices. A repetitive melody is played on the marimba. The percussion is programmed and the focus is on the continuous hi-hat strokes. The bass plays the root notes of the chords. The mood of this song is happy. This song can be played at a dance party.
NSyqj1DXZKg,"This clip is a meditative and calming track. The leading instrument is a flute, which is played intricately and dynamically. In support, is a piano, on which arpeggios are played. The track would be suitable as music for relaxation at a spa."
chfTjqlrFQQ,"This song is a crossover of a reggae song with a soul song. This features a male voice singing the main melody. It starts off with the voice which is accompanied by the guitar, bass and percussion playing in the pause between lines. During the pause, a synth sound is played which is modulated by a ring modulator. After the pause, the voice starts the main melody. Trumpets play a melody. The bass and percussion continue to play with a reggae feel. Female backing voices sing vocables. This song is relaxing. This song can be played at the end of a war movie."
AlVr7-ntuqw,This jazz song is an instrumental song featuring a trombone playing the main melody. The trombone is accompanied by a piano playing chords using jazz rhythms. The tone changes at the end to an uplifting mood. There is no percussion in this song. This song can be used in a highway driving scene in a movie.
6k4lcF9IGUk,"This R&B song features a male voice singing the main melody. Another male voice sings a high pitched melody after the main voice pauses. This is accompanied by a piano playing chords in the background. In between, there are two banging sounds. At the end, hand claps are heard. There are no other instruments heard in this clip."
lUp9WnLYetg,The song is an instrumental. The tempo is medium with an aborigine playing a didgeridoo and a tapping rhythm in a percussive manner. The audio quality is bad with ambient crowd talking sounds. The music is traditional and deeply meditative in nature.
FdvGsAq99r0,"This is an Arabic music piece being performed live by an orchestra. There is a new flute playing a solo in the lead. The melodic background consists of the violin, the oud, and the qanun while the cello and the bass guitar are playing in the lower range. The rhythmic background is provided by percussive elements that sound like the doumbek. The atmosphere is vibrant. This piece could be used as an opening theme for a drama movie or a TV series that takes place in the Middle East."
kR2yBlL6nFU,"The low quality, mono recording features a classical song performed by sad violin melody and harpsichord. The recording is noisy and it sounds emotional and passionate."
mU6cfEWw5Og,"The low quality recording features a flat male vocal talking, after which there is a shimmering tambourine being played. The recording is noisy and the stereo image is unbalanced, as the audio is slightly leaning towards the right channel of the stereo image."
cYSW6Y884dA,"The low quality recording features wide acoustic guitar melodies playing over shimmering hi hats, followed by acoustic bass guitar. It sounds passionate and joyful."
agw-ujSdX0A,"This is the recording of a Pakistani marching band. The bagpipes are playing the melody. The rhythmic background is provided by a drumline that is played by the snare drums, the bass drums and the cymbals. The atmosphere is vibrant and lively. This piece could be playing in the background at a parade."
0cNYPgD6cEA,"The male mid to high range voice sings loudly and full of emotions pouring out of his soul while strumming some minor chords on the guitar. This recording is of poor quality. This song may be played in an open mic, poetry bar."
3-_QS346VWo,This is a new-age music piece. There is no singer in this piece. The acoustic guitar is playing the main melody. The piano is playing the chords of the piece while in the background a faint synth string sound can be heard. The atmosphere is relaxing and soothing. This piece would make the perfect background music for a meditation video. It could also be playing in the background at a spa or a wellness center.
s72505MIhz8,"The low quality recording features a flat male vocal talking, after which an accordion melody starts playing. It sounds joyful and happy, even though the recording is noisy."
mwwnfWgV_5U,This is a power metal/speed metal music piece. The melody is being performed by the distorted electric guitar and the keyboard while the bass guitar is playing in the background. The rhythmic background consists of a loud metal acoustic drum beat. The atmosphere is aggressive and upbeat. This music would suit perfectly in the soundtrack of an adventure video game. It could also work well in the soundtrack of an action-filled cartoon series.
9PMoI31ncIs,This is a house music piece. There is a synth with a crisp sound playing the melody while a lot of turntable scratches can be heard in the background. An electronic drum beat with lots of snare beat repeat sounds provide the rhythm. The atmosphere is energetic and upbeat. This piece could be played at nightclubs or dance clubs.
ymOjaaxRDLU,"A female vocalist sings this pop song. The tempo is fast with a lively piano accompaniment, funky bass lines, violin harmony, synthesiser and electronic arrangements and punchy drumming. The song is youthful, romantic, warm, simple and groovy. This song is an Electro Pop/ Dance pop."
ksYM8YzzWXo,"This music is an electronic instrumental. The tempo is medium with a steady, rhythmic keyboard harmony, simple drumming and groovy bass lines. There are sounds of crashing, glass breaking, explosions or gunshots in the background superimposing over the music. The sounds are in stark contrast to the melodious music, with the crashing and shooting giving it an aggressive vibe;"
k6F3gc8f8kI,"The low quality recording features a flat male talking, after which there are harmonizing clarinet melodies playing. It sounds soulful and the recording is in mono and noisy."
W5BB6pubJZI,"The song is an instrumental. The tempo is variable with two different soundtracks with snare play, sitar accompaniment, techno drumming and keyboard accompaniment. The song is a techno dance rhythm. The audio has average audio quality."
gHWMKew9Xq0,"Stoic music featuring steady acoustic guitar arpeggios, a clave, and a measured female singer. There is a slight tape hiss. The source material may be old."
tKawN2sxhYc,"The song is an instrumental. The tempo is medium with a marching band rhythm, snares playing percussively , cymbals crashing, brass band harmony, trumpets blaring, trombones and tubas playing long notes. The song has a patriotic fervour and inspires. The overall sound quality is poor."
3KQy3Cajo4E,"A male singer sings this popular country hit with backup singers in vocal harmony. The song is in medium tempo with a walking bass , acoustic guitar strumming rhythmically, autoharp accompaniment and steady drumming rhythm. The song is an emotional and nostalgic country hit. The audio quality is poor."
BhYaXU1MVcQ,The low quality recording features a sustained horn tone. There is a subtle inhale sound and it sounds reverberant as if it was recorded in a room. The recording is noisy and in mono.
v0tYHz5mk4I,The music features a female voice singing with a reverb effect and out of tune. An acoustic guitar accompanies the singer with chords and arpeggios. In the background a synth sound that resembles an instrument with strings plays arpeggios.
_78P-0zWJtg,"The low quality recording features a live performance of fruity male vocal singing over funky piano melody and beat played on playback that consists of punchy snare and kick hits, shimmering hi hats and smooth bass. The crowd is also singing along, harmonizing with the lead vocal. It sounds emotional and groovy, even though the recording is noisy."
x1x54MgStxQ,"A male singer sings this delightful melody. The song is medium tempo with a ukulele accompaniment, steady drumming rhythm with various percussions like clapping and tambourine along with a keyboard accompaniment. The song is emotional and groovy. The song is a local Indian language pop song, most probably a Bengali pop song."
flLjMZMydXc,"This is an instrumental folk song with the melody played both by a banjo and a violin at the same time. The combination of these instruments creates a very American, western-movie type of atmosphere. It could be used in opening sequences of movies/shows taking place in rural USA."
HyyHwIK9SSI,"The music is an instrumental gameplay track. The track has sounds of growling monsters, church bells playing, a female crying in pain, chains being pulled, splashing noises, electrical spark buzzes and other disturbances. The music has very poor audio quality."
1SqihV_DnEg,The track is a lullaby song that features a mellow male vocal with a mellow voice. A soft xylophone plays a melody on the foreground while a deep bass guitar adds a certain bounciness to the song's rhythm. The atmosphere is calmed and dreamy.
U6SYfguaJtk,This song contains male voices singing/shouting while an acoustic drum is playing an elevating pattern on the toms. You can hear hands clapping to the beat. A brass section/saxophones are playing a repeating melody creating tension. Then the song breaks into the next part with a piano playing along with the melody. This song may be playing at a live concert.
xZukWGb52BI,This amateur recording features a trumpet playing the main melody. The song starts with a string section playing a chord and fading away. The trumpet starts to play the melody. This is backed by a stringed instrument plucking chords. This sounds like a harp or an acoustic guitar. The mood of this song is romantic. This song can be played in a romantic movie.
qm8sJxsZ5VY,"The song is an instrumental. The song has ambient room noises like hair trimming tones and funny tones. The song has slick drumming rhythm, groovy bass line, guitar rhythm and keyboard accompaniment. The song is groovy and funny. The song is a soundtrack for a funny prank video."
PJRG2bwphUc,"The low quality recording features a female vocal singing with left-panned echoing effect, which creates this unbalanced stereo image. In the background, there is a harmonizing male vocal, followed by a rumbly sound effect located in the right channel of the stereo image. Sounds passionate and emotional."
evscfdO-oSY,"A male vocalist sings this simple melody. The tempo is medium with a pleasant keyboard harmony, slick drumming, steady bass lines and an melodic electric guitar harmony. The song is a simple, insistent rhythm,recurring beat, youthful , emotional, sentimental and passionate classic Pop."
S2u5IE0n1ws,"An instrumental western swing group featuring a violin or fiddle solo. The upright bass lays down a steady walking bassline while two jazz guitars accompanied by strumming chords. Accordion is also present, but drums are not."
J1nIXpnMe1U,This is an instrumental rendition of a Christian gospel music piece. There is a melodeon and a piano accordion playing the tune. The atmosphere is festive and cheerful. This piece could be playing in the background at a charity event.
MFxMPOAbUPA,"This is an R&B/soul music piece. There is a whole mix of male and female vocals singing melodically. The tune is being performed by the keyboard while the electric guitar and the bass guitar are playing in the background. There is a slow tempo electronic drum beat in the rhythmic background. The atmosphere is emotional. This piece could be used in the soundtrack of a romance movie, especially during the scenes of resolution."
GOTy3yhCylw,This is a bass guitar jam in the style of funk. It is an instrumental performance. The bass guitar is playing a complex solo using the slap technique. There is a backing track composed of a programmed acoustic sounding drum beat. There is a groovy atmosphere to it. This piece could be used in the opening theme of a tutorial/unboxing YouTube channel.
0nk7utNkHOY,"This music is a western classical instrumental. The tempo is slow with a cello solo. The music is soft, rich, deep, mellow, euphonious, pensive, melancholic, emotional and sentimental."
pLqasxGYWX8,"This is a live performance of a salsa music piece. The melody is being played by loud and high-pitched trumpets with the backing of the piano and the bass guitar. In the rhythmic background, a group of latin percussive elements are playing such as cowbell and maracas. The atmosphere is vibrant and sensual. This piece could be included in the soundtrack of a romance movie that takes place in the Caribbeans or Latin America."
Ikdb_jA9ehU,"The low quality recording features a DJ scratching effect at the beginning of the loop, after which a synth wave song drops. The song consists of groovy synth bass, percussive tinny elements, shimmering hi-hats, punchy snare and kick hits, soft crash cymbals and wide simple bells melody. It sounds energetic and judging by the arrangement, it's a background song for some kind of video."
Z31gI08SMzI,"Male voices are singing a hymn while supported by strings playing chords, a triangle sound can be heard as a rhythmic addition. Upright basses being plucked along with a soft timpani hit. This song may be playing at an official national event."
r4JRDHYukZ4,"A male singer sings this emotional melody. The song is medium tempo with a steady drumming rhythm, accordion accompaniment and people singing together in unison. The song is emotional and sentimental. The song audio quality is poor."
71KE7B1vvdI,"The low quality recording features an afrobeats song that consists flat male vocal, alongside wide harmonizing male vocals, rapping over sustained synth lead melody, short synth melody, groovy bass, soft kick hits, punchy snare, shimmering shakers and syncopated toms. The mix is bad, thus it sounds kind of unprofessional, but still energetic."
0dPx94RPy2M,This is a jingle piece played in the background of an advertisement video. There are sounds coming from a drill. The piece in the background is an instrumental rock music piece. There is a keyboard and an electric guitar playing the melody while an acoustic sounding drum beat provides the rhythm. The sounds are bland and generic. The piece could be of some use as an advertisement jingle or it could be playing in the background of an instructive/tutorial video.
b2XAPiRUoN4,This is a marching parade of hundreds of Scottish bagpipe players. They are all playing the same melody with the exact same pitch. The song itself feels somewhat encouraging and positive.
LQYd-dsz62M,This is an instrumental power metal piece. There is an electric guitar playing the melody with the accompaniment of a keyboard. There is an acoustic drum beat in the rhythmic background. There is an aggressive atmosphere. This piece could be used in the soundtrack of an action video game.
DYp8940tHso,This is the guitar cover of a speed metal/progressive metal piece. The distorted electric guitar is playing a solo. There is a rapid and complex procession of notes in the solo which is played by the shredding technique. There is a loud and violent atmosphere to the recording. The quality is quite poor since the recording is a bit dated.
aDlWOvCdNMk,This song features an instrumental played on bagpipes. One pedal note is played continuously on the lower register while the higher notes are played to a melody. There are no other instruments in this song. There are no voices in this song. This is an instrumental song. This song can be played at a Scottish fair.
lSbCqHZy_l4,"The low quality recording features a fruity male vocal talking, after which he starts singing over harmonizing choir, groovy bass, mellow piano melody, shimmering cymbals, punchy kick, punchy tom and snappy rimshots. It sounds emotional, soulful and passionate."
VJ-dpTx_3Cg,The country music features a male voice singing while being backed by female vocals. The drums play a simple and repeating rhythm and together with the bass guitar drive the pulse of the music. An electric guitar plays short repeating musical phrases that incorporate the slide technique. In the background a group of strings fills the harmony and also provides a melody in the higher register.
fjxD32KIHgE,Solo percussion playing additive rhythms and polyrhythms.
VMWW9OX1EJM,A man narrates a documentary in this video. The audio quality is poor with keyboard harmony and medium tempo percussions playing along with waves crashing sounds.
MC0Aeu7RLSI,This dancehall song features a male voice singing the main melody. Another male voice sings backing vocals in harmony with the main melody. The voice sings at a fast pace fitting many syllables in the rhythm phrases. This is accompanied by programmed percussion playing a simple beat. Synth sounds are played in between lines. This song is flirty. This song can be played in a club.
c9h4p6325Xo,"A male vocalist sings this lilting melody. The tempo is medium with keyboard harmony, groovy bass line, steady drumming and mandolin harmony. The song is emotional, romantic, soulful, sentimental and soothing. This song is Regional Pop,"
Xaq-segSEsQ,"A male vocalist sings this energetic Nigerian song. The tempo is fast and upbeat with keyboard harmony and Afro beats of conga, clave, drums and akuba. The music is upbeat, catchy, spirited, energetic, youthful and pulsating with a dance groove. This song is a Reggae song."
7pYavsK9sPg,"The low quality recording features a reggae song that consists of a fruity male vocal singing over shimmering hi hats, groovy bass, organ keys, chords, claps and male vocal chants. It sounds addictive, groovy and muddy, due to the poor quality of the mix."
mcAsO331Z9s,"This music is an upbeat instrumental. The tempo is fast with a plethora of instruments like trumpets, congas, bongos, steel drum, accordion,saxophone, keyboard,and electric guitar. The music is perky, buoyant, high spirited, enthusiastic, energetic with complex harmonies. This music is a contemporary take in Traditional Latin folk music."
Ieef9l-gWN8,This song features a marimba playing a melody on the higher register. The marimba plays a repetitive melody. This is accompanied by a clarinet and flute playing a dissonant chord together. This song is relaxing. It has a dreamy sound. This song can be played at the beginning of a dream sequence in a children's animation movie.
XKp670Yh0E0,"This is the opening of a reggae song played live during a performance. There is a saxophone playing a solo as the lead. An electric guitar and a bass guitar play the tune in the background. The acoustic drums follow a basic, repetitive reggae beat. The song could be played at a bar or a coffee house."
w4ayJNZ5w5o,"The low quality recording features an electric guitar solo melody played with some sliding techniques. It sounds cool, passionate and the recording is noisy and in mono, as it was probably recorded with a phone."
mWuX--EEq2E,"This is a live performance of a Greek folk music piece. There is an orchestra performing the piece. There is a floghera flute playing the main tune while the oud and the bass guitar are playing in the background. The rhythm is being played by the acoustic drums. After the shout coming from a male voice, the orchestra starts accelerating. The atmosphere is lively. This piece could be playing in the background at a seaside Greek tavern."
nFoktpUVeVw,This song contains a tabla rhythm spread across both sides of the speakers. An acoustic guitar melody panned to the right side of the speakers. Far in the background you can hear clapping as part of the song. A male voice is singing in a higher register than a violin takes over playing a melody in a higher register with reverb and a little delay. This song may be playing in a lovely movie-scene.
aPafZ1Mx-BE,Singers sing this prayer song in a congregational unison. The song is medium tempo with a heavily distorted harmony section. The song is of very bad quality with humming and whirring noises.
cjTrK-kA6x0,"The low quality recording features a short snippet of breathy flute melody at the beginning of the loop, followed by birds chirping and water flowing sounds, due to the fact that it was recorded outdoors. The recording is noisy and in mono."
JorNR3IXDyc,The instrumental music features a marimba playing a simple melody in unison with another similar instrument and a xylophone accompanying them with fast repeating notes. A tambourine is playing once every beat. A drummer plays a repeating rhythm and drives the rhythm forward.
dS8AZdmn8Wk,"The low quality recording features a live performance of a classical song and it consists of sustained cello melody played over passionate piano melody, after which there is a plucked cello melody. It sounds emotional and passionate."
EmSZKb0LdVM,"The low quality recording features an electro house song that consists of punchy ""4 on the floor"" kick pattern, claps, funky electric guitar melody, groovy synth keys, groovy bass that glues everything together and shimmering shakers. It sounds a bit muddy, but also energetic, fun and exciting - like something you would hear in clubs during 70s and 80s a lot."
vnwKpQeza3A,"This is a recording of two didgeridoos. They are playing low notes and create a very low vibrational tone. There is a melody, but it is not easily recognizable."
tGUWSgewh0A,"The song is an instrumental. The tempo is medium with a brass band playing, trumpets blaring, tubas and trombones playing percussively, Latin percussions playing along with drum hits. The song is lively and exciting. The song is a brass band marching with a poor audio quality."
YEwikeeqF38,"This audio contains a scary song that may belong in a horror movie. There is a tuned wind sound, synth pads and drones creating an uncomfortable atmosphere. On top of that a synth pluck sound is playing a dissonant melody and a piano is playing one single note in the mid range."
AY_yCk4eTTI,This is a tutorial video recording on how to tune an acoustic guitar to drop D tuning. There is a female voice speaking in an instructive manner as she is plucking the chords and tuning the acoustic guitar.
Zhurw43-Y1g,"A male vocalist chants this captivating harmony. The tempo is slow with electronic music, and vocals sung melodiously to create this hypnotic music. The music is calming, soothing, healing, meditative, psychedelic, trance like, hypnotic and ethereal. The instruments used could be glass harp, a low pitched string instrument and choral vocal chanting."
nW6Naj6eeI4,"This audio contains acoustic drums playing something like a reggae groove along with an e-bass. A e-guitar strumming chords, piano, organ saxophones and trumpets are playing a short melody on the backbeat giving this song its reggae feeling. In-between the instruments are playing a short loud melody to break into the next part. The instruments are spread across the sides of the speakers. This audio may be playing in an urban coffee shop."
UrgzGbGVV8I,"The song is an instrumental music piece. The song is slow tempo with an electric guitar playing lead with heavy echoes, steady drumming and a keyboard harmony. The song is casual and slightly out of rhythm. The song is an instrumental  with a casual listening vibe."
ZtcHktwEfAU,"The low quality recording features a folk rock song that consists of a sustained bagpipe melody and sustained synth bass, followed by funky synth keys and punchy toms. It sounds suspenseful and intense."
t1ULMDpL35I,"The low quality recording features a jazz live performance that consists of saxophone solo melody played over energetic cymbals, manic tom roll, punchy snare and kick hits, organ keys chords, groovy double bass and groovy piano chords. It sounds passionate and upbeat."
P5uIpVLEpm4,"This music is instrumental. The tempo is fast with an electric guitar riff playing a cover of a popular melody. The music is intense, loud, passionate, violent, aggressive and thunderous. This music is heavy metal/ death metal."
